date,TAI
2019-01-01,0.93
2019-02-01,0.95
2019-03-01,1.17
2019-04-01,1.01
2019-05-01,0.86
2019-06-01,0.9
2019-07-01,0.94
2019-08-01,0.95
2019-09-01,0.93
2019-10-01,1.0
2019-11-01,0.99
2019-12-01,1.11
2020-01-01,1.18
2020-02-01,1.24
2020-03-01,1.18
2020-04-01,1.12
2020-05-01,0.99
2020-06-01,0.91
2020-07-01,0.89
2020-08-01,0.86
2020-09-01,0.97
2020-10-01,0.87
2020-11-01,1.09
2020-12-01,0.8
2021-01-01,0.82
2021-02-01,0.64
2021-03-01,0.89
2021-04-01,0.76
2021-05-01,0.79
2021-06-01,0.85
2021-07-01,0.92
2021-08-01,0.81
2021-09-01,0.92
2021-10-01,0.98
2021-11-01,0.92
2021-12-01,0.88
2022-01-01,0.91
2022-02-01,0.89
2022-03-01,1.04
2022-04-01,0.83
2022-05-01,0.84
2022-06-01,0.92
2022-07-01,0.94
2022-08-01,0.95
2022-09-01,0.89
2022-10-01,0.97
2022-11-01,0.73
2022-12-01,0.8
2023-01-01,0.88
2023-02-01,0.97
2023-03-01,1.23
2023-04-01,0.99
2023-05-01,0.94
2023-06-01,1.08
2023-07-01,1.19
2023-08-01,1.19
2023-09-01,1.48
2023-10-01,1.34
2023-11-01,1.4
2023-12-01,1.36
2024-01-01,1.25
2024-02-01,1.43
2024-03-01,1.39
2024-04-01,1.31
2024-05-01,1.16
2024-06-01,1.24
2024-07-01,1.2
2024-08-01,1.3
2024-09-01,1.23
2024-10-01,1.35
2024-11-01,1.29
2024-12-01,1.27
