signal,target,lag_weeks,n,r,p_value,data_source
NSS_ADJ,ET_SPREAD,0,312,-0.12800686763317362,0.023741488899481075,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ET_SPREAD,1,311,-0.008361618164702867,0.8832365803966818,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ET_SPREAD,2,310,-0.12965439737993453,0.022417133317263728,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ET_SPREAD,3,309,-0.060428664074698574,0.28964448496376666,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ET_SPREAD,4,308,-0.07438058561965684,0.19296072055053834,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ICLN,0,312,-0.14569489182879738,0.00996850764109711,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ICLN,1,311,-0.03458762937441818,0.5433962867104811,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ICLN,2,310,-0.06844105088628337,0.22953000801030768,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ICLN,3,309,-0.09484477025990624,0.0960693874647842,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ICLN,4,308,-0.0045722691364793,0.9363031545437986,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XLE,0,312,0.0010650007442560589,0.9850515798064823,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XLE,1,311,-0.023622775799009444,0.6781619656158636,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XLE,2,310,0.07610348256694069,0.18139701917892556,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XLE,3,309,-0.02410911994525422,0.672920335038787,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XLE,4,308,0.07644645039404521,0.18085290764563697,actual_gdelt_gkg_weekly_sample
NSS_ADJ,NEE,0,312,-0.09883415675172415,0.08132977240424476,actual_gdelt_gkg_weekly_sample
NSS_ADJ,NEE,1,311,0.005009009258453441,0.9298928183572193,actual_gdelt_gkg_weekly_sample
NSS_ADJ,NEE,2,310,-0.0371379794897784,0.5147464546791849,actual_gdelt_gkg_weekly_sample
NSS_ADJ,NEE,3,309,0.02262509437104054,0.6919931143290551,actual_gdelt_gkg_weekly_sample
NSS_ADJ,NEE,4,308,-0.016513952781175418,0.7728416010260698,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XOM,0,312,-0.004562374730436958,0.9360268450690445,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XOM,1,311,-0.02791927003965104,0.6237980281172593,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XOM,2,310,0.08958717310893714,0.11545518132410303,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XOM,3,309,-0.004522916657077158,0.936886430484573,actual_gdelt_gkg_weekly_sample
NSS_ADJ,XOM,4,308,0.09270087940563562,0.10442340833825522,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ETN,0,312,0.01975560555498834,0.728150476478166,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ETN,1,311,0.0018200002450956569,0.9744984970844262,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ETN,2,310,0.008482036127067483,0.8817579856654421,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ETN,3,309,-0.013088942309244046,0.8187446117513706,actual_gdelt_gkg_weekly_sample
NSS_ADJ,ETN,4,308,0.0917046232089971,0.10821856109526277,actual_gdelt_gkg_weekly_sample
